t,trust,residual,authority_scale,fault_label,supervisor_mode,hold
17.77,0.8253778685795152,0.12148505576452119,0.8253778685795152,nominal,nominal,false
17.87,0.8514960888153718,0.09648120968329399,0.8514960888153718,nominal,nominal,false
17.97,0.8740068055007799,0.08063421937089485,0.8740068055007799,nominal,nominal,false
18.07,0.8930721620706429,0.06797318616858353,0.8930721620706429,nominal,nominal,false
18.17,0.9081340712503687,0.05982445633786866,0.9081340712503687,nominal,nominal,false
18.27,0.906143316015198,0.08488222748390632,0.906143316015198,nominal,nominal,false
18.37,0.8889664544112257,0.12258959906597539,0.8889664544112257,nominal,nominal,false
18.47,0.8713231406063482,0.14048875998838375,0.8713231406063482,nominal,nominal,false
18.57,0.8499037780425569,0.16764030531041005,0.8499037780425569,nominal,nominal,false
18.67,0.8334544482697807,0.1768564822633384,0.8334544482697807,nominal,nominal,false
18.77,0.8183238726467252,0.19051960623211656,0.8183238726467252,nominal,nominal,false
18.88,0.8118555435910371,0.18371321158463005,0.8118555435910371,nominal,nominal,false
18.97,0.816573669313248,0.16167379584221872,0.816573669313248,nominal,nominal,false
19.07,0.8248386040896232,0.1480410678224701,0.8248386040896232,nominal,nominal,false
19.17,0.8407640784900794,0.12118985803188526,0.8407640784900794,nominal,nominal,false
19.27,0.8624636697989962,0.0924308102103207,0.8624636697989962,nominal,nominal,false
19.37,0.8881737593674985,0.06340285094947484,0.8881737593674985,nominal,nominal,false
19.47,0.9136326284383508,0.04114863206244202,0.9136326284383508,nominal,nominal,false
19.57,0.9282280837483621,0.04263804446836245,0.9282280837483621,nominal,nominal,false
19.67,0.9277820689597107,0.06306647649458207,0.9277820689597107,nominal,nominal,false
19.77,0.9193041377892703,0.08172334499885935,0.9193041377892703,nominal,nominal,false
19.87,0.9086140596347718,0.09470026530679566,0.9086140596347718,nominal,nominal,false
19.97,0.8990556611918838,0.10207188084532494,0.8990556611918838,nominal,nominal,false
20.07,0.8919343319308001,0.10534272647089946,0.8919343319308001,nominal,nominal,false
20.17,0.8871809015821888,0.10647974652756449,0.8871809015821888,nominal,nominal,false
20.28,0.8815250162035385,0.11314378688379838,0.8815250162035385,nominal,nominal,false
20.37,0.8708487498538342,0.13070630926731666,0.8708487498538342,nominal,nominal,false
20.47,0.8671107263581935,0.12422994875204817,0.8671107263581935,nominal,nominal,false
20.57,0.8648378097013709,0.12430274751712521,0.8648378097013709,nominal,nominal,false
20.67,0.8633234917343418,0.1246669702658174,0.8633234917343418,nominal,nominal,false
20.77,0.8569808026370167,0.13791970927195235,0.8569808026370167,nominal,nominal,false
20.87,0.8461604348650531,0.15534504985307626,0.8461604348650531,nominal,nominal,false
20.97,0.833819690466459,0.17015718262952792,0.833819690466459,nominal,nominal,false
21.07,0.8213471264421484,0.18320927232497985,0.8213471264421484,nominal,nominal,false
21.17,0.809772322985624,0.1938968297391376,0.809772322985624,nominal,nominal,false
21.27,0.7991782558380389,0.20354659430384672,0.7991782558380389,nominal,nominal,false
21.37,0.7900175633868685,0.211038729999379,0.7900175633868685,nominal,nominal,false
21.47,0.7823370210528373,0.21692109645048532,0.7823370210528373,nominal,nominal,false
21.57,0.7759586992204933,0.22171876096099585,0.7759586992204933,nominal,nominal,false
21.67,0.7704577428011647,0.22628167858975345,0.7704577428011647,nominal,nominal,false
21.77,0.7697023507489263,0.21935382747684304,0.7697023507489263,nominal,nominal,false
21.87,0.770052990716176,0.21717763556198302,0.770052990716176,nominal,nominal,false
21.97,0.7643190739308885,0.23340560438711733,0.7643190739308885,nominal,nominal,false
22.07,0.7575800629077871,0.24254919957870857,0.7575800629077871,nominal,nominal,false
22.17,0.7545432718951746,0.2397482989524666,0.7545432718951746,nominal,nominal,false
22.28,0.7506566511170094,0.2455030652728698,0.7506566511170094,nominal,nominal,false
22.37,0.7555978849105799,0.2254037401206916,0.7555978849105799,nominal,nominal,false
22.48,0.7624827135672271,0.2147684270245896,0.7624827135672271,nominal,nominal,false
22.57,0.7672802456226893,0.2129732544241427,0.7672802456226893,nominal,nominal,false
22.67,0.7806098518655532,0.1853237582436885,0.7806098518655532,nominal,nominal,false
22.77,0.7985533899013051,0.15983661370332383,0.7985533899013051,nominal,nominal,false
22.87,0.8113648085513859,0.15469057960162952,0.8113648085513859,nominal,nominal,false
22.97,0.8217498097814504,0.14795019301401838,0.8217498097814504,nominal,nominal,false
23.07,0.83516055128046,0.13027523276022104,0.83516055128046,nominal,nominal,false
23.17,0.8523736863353514,0.10824037406213004,0.8523736863353514,nominal,nominal,false
23.27,0.8673052925938565,0.09738992898161279,0.8673052925938565,nominal,nominal,false
23.37,0.8792191178512982,0.09049937360002107,0.8792191178512982,nominal,nominal,false
23.47,0.8898369844330638,0.0824806088815635,0.8898369844330638,nominal,nominal,false
23.57,0.8982756772755687,0.07773761948504866,0.8982756772755687,nominal,nominal,false
23.67,0.9005869736060451,0.08405523037559372,0.9005869736060451,nominal,nominal,false
